text,label
"Current report on Form 8-K reporting the appointment of new Chief Technology Officer and related technology strategy.",8-K
"Form 10-K annual report for the fiscal year ended December 31, 2023 with audited financial statements and comprehensive disclosures.",10-K
"Quarterly report on Form 10-Q for the quarter ended September 30, 2023 providing management's discussion of liquidity position.",10-Q
"This 8-K current report is being filed to report the commencement of a share repurchase program.",8-K
"Annual report on Form 10-K includes discussion of environmental sustainability initiatives and ESG reporting.",10-K
"Quarterly report on Form 10-Q for the quarter ended June 30, 2023 with management's review of operational metrics and financial performance.",10-Q
"Amendment to annual report on Form 10-K/A to include additional disclosures regarding cybersecurity risks.",10-K/A
"Current report on Form 8-K reporting the issuance of new warrants and related financing activities.",8-K
"This quarterly report provides management's discussion and analysis of financial condition for the period ended September 30, 2023.",10-Q
"Form 8-K current report disclosing the settlement of litigation and related financial implications.",8-K
"Annual report on Form 10-K for the fiscal year ended December 31, 2022 with comprehensive financial statements and management's analysis.",10-K
"Quarterly report on Form 10-Q for the quarter ended March 31, 2023 providing interim financial information and strategic review.",10-Q
"Amendment to quarterly report on Form 10-Q/A to correct errors in previously filed report's management discussion section.",10-Q/A
"Current report on Form 8-K reporting the appointment of new Chief Compliance Officer and related governance matters.",8-K
"Form 10-K annual report includes discussion of dividend history and future dividend policy.",10-K
"Quarterly report on Form 10-Q for the quarter ended December 31, 2022 with management's discussion of financial risks and opportunities.",10-Q
"This 8-K current report is being filed to report the commencement of a strategic partnership with a major industry player.",8-K
"Annual report on Form 10-K for the fiscal year ended June 30, 2023 with detailed financial analysis and business strategy discussion.",10-K
"Quarterly report on Form 10-Q for the quarter ended September 30, 2023 providing management's review of capital structure and financing.",10-Q
"Amendment to annual report on Form 10-K/A to correct previously filed information regarding executive stock awards.",10-K/A
"Current report on Form 8-K reporting the termination of a key executive and related succession planning.",8-K
"This quarterly report includes management's discussion and analysis of financial condition for Q3 2023 and strategic outlook.",10-Q
"Form 8-K current report reporting the acquisition of a competitor and related integration plans.",8-K
"Annual report on Form 10-K includes discussion of technology investments and digital transformation initiatives.",10-K
"Quarterly report on Form 10-Q for the quarter ended March 31, 2022 with management's analysis of revenue trends and expense management.",10-Q
"Amendment to quarterly report on Form 10-Q/A to include additional disclosures regarding lease accounting changes.",10-Q/A
"Current report on Form 8-K reporting the appointment of new board chair and related governance changes.",8-K
"Form 10-K annual report for the fiscal year ended December 31, 2021 with audited financial statements and comprehensive business discussion.",10-K
"Quarterly report on Form 10-Q for the quarter ended June 30, 2023 providing interim financial information and management's strategic review.",10-Q
"This 8-K current report is being filed to report the commencement of a business reorganization and related cost reduction initiatives.",8-K
"Annual report on Form 10-K includes discussion of human capital management and diversity and inclusion initiatives.",10-K
"Quarterly report on Form 10-Q for the quarter ended September 30, 2022 with management's discussion of financial performance and outlook.",10-Q
"Amendment to annual report on Form 10-K/A to correct errors in previously filed report's business description section.",10-K/A
"Current report on Form 8-K reporting the issuance of new convertible debt and related financing arrangements.",8-K
"This quarterly report provides management's discussion and analysis of financial condition for the period ended December 31, 2022.",10-Q
"Form 8-K current report disclosing the sale of non-core assets and related financial implications.",8-K
"Annual report on Form 10-K for the fiscal year ended September 30, 2022 with comprehensive financial analysis and strategic review.",10-K
"Quarterly report on Form 10-Q for the quarter ended March 31, 2023 providing management's review of operations and financial strategy.",10-Q
"Amendment to quarterly report on Form 10-Q/A to correct errors in previously filed report's risk factors section.",10-Q/A
"Current report on Form 8-K reporting the appointment of new Chief Information Officer and related technology strategy.",8-K
"Form 10-K annual report includes discussion of market share, competitive positioning, and growth opportunities.",10-K
"Quarterly report on Form 10-Q for the quarter ended June 30, 2022 with management's analysis of financial performance and cash flows.",10-Q
"This 8-K current report is being filed to report the commencement of a joint venture and related financing arrangements.",8-K
"Annual report on Form 10-K for the fiscal year ended December 31, 2023 with audited financial statements and management's strategic review.",10-K
"Quarterly report on Form 10-Q for the quarter ended September 30, 2023 providing management's discussion of liquidity and capital resources.",10-Q
"Amendment to annual report on Form 10-K/A to include additional disclosures regarding climate change risks and opportunities.",10-K/A
"Current report on Form 8-K reporting the termination of a significant customer contract and related financial impact.",8-K
"This quarterly report includes management's discussion and analysis of financial condition for Q4 2022 and strategic outlook.",10-Q
"Form 8-K current report reporting the acquisition of new technology assets and related integration plans.",8-K
"Annual report on Form 10-K includes discussion of supply chain management and operational efficiency initiatives.",10-K
"Quarterly report on Form 10-Q for the quarter ended March 31, 2022 with management's review of market conditions and competitive landscape.",10-Q
"Amendment to quarterly report on Form 10-Q/A to correct errors in previously filed report's financial statement footnotes.",10-Q/A
"Current report on Form 8-K reporting the appointment of new Chief Risk Officer and related risk management strategy.",8-K
